longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-124.08,40.86,18,1287,484,805,502,1.12,150000,NEAR OCEAN
-124.08,40.87,29,1710,469,990,425,1.15,101100,NEAR OCEAN
-124.08,40.91,13,2522,719,1381,628,1.67,78800,NEAR OCEAN
-124.08,40.94,18,1550,345,941,335,2.31,70100,NEAR OCEAN
-124.08,40.99,18,3297,662,1554,578,2.68,111300,NEAR OCEAN
-124.08,41.36,29,1029,239,509,196,2.02,62800,NEAR OCEAN
-124.07,40.81,23,2103,411,1019,387,2.99,119700,NEAR OCEAN
-124.07,40.87,39,1049.5,230,788,231.5,1.49,126150,NEAR OCEAN
-124.06,40.86,34,4183,230,1891,669,3.22,98100,NEAR OCEAN
-124.06,40.88,12,2087,424,1603,438,2.57,139500,NEAR OCEAN
-124.06,41.13,22,3263,799,1384,578,2.47,119400,NEAR OCEAN
-124.05,40.59,32,1878,340,937,353,3.44,95200,<1H OCEAN
-124.05,40.85,31,2414,428,1005,401,3.52,143000,NEAR OCEAN
-124.05,40.94,14,1452,217,516,181,5.03,165600,NEAR OCEAN
-124.03,40.45,34,1006,213,443,158,2.61,71300,<1H OCEAN
-124.02,40.72,28,3513,634,1658,598,3.81,119900,<1H OCEAN
-124.02,40.8,22,2588,435,1198,442,3.98,133900,<1H OCEAN
-124.01,40.89,28,1470,336,811,314,2.46,75600,<1H OCEAN
-124.01,40.97,21,1513,319,943,301,3.54,102700,<1H OCEAN
-124,40.22,16,2088,535,816,326,1.32,70700,<1H OCEAN
-124,40.92,29,1429,336,672,266,2.95,98800,<1H OCEAN
-123.98,40.88,41,1719,372,844,336,2.69,84200,<1H OCEAN
-123.96,40.57,31,1854,365,883,310,2.32,92600,<1H OCEAN
-123.92,41.54,22,2920,636,1382,499,2.02,71100,NEAR OCEAN
-123.91,41.68,22,1880,360,743,314,2.97,152700,<1H OCEAN
-123.88,40.93,28,1272,259,519,220,3.29,106300,<1H OCEAN
-123.85,39.39,23,4671,912,2095,857,3.18,140500,<1H OCEAN
-123.85,39.42,11,1804,506,895,451,1.76,150000,<1H OCEAN
-123.85,41.32,31,938,238,425,157,1.05,36700,<1H OCEAN
-123.84,39.46,47,1150,244,552,201,2.52,110400,<1H OCEAN
-123.84,39.83,19,1461,340,515,227,1.53,145800,NEAR OCEAN
-123.84,40.28,28,2809,605,1093,438,2.1,74000,<1H OCEAN
-123.83,41.88,18,1504,357,660,258,3.13,116700,<1H OCEAN
-123.82,40.12,33,2985,591,1221,486,2.09,82400,<1H OCEAN
-123.82,40.16,19,2283,634,1184,453,1.22,76800,<1H OCEAN
-123.81,39.31,23,2754,577,887,432,3.37,225000,NEAR OCEAN
-123.81,39.34,17,1981,371,773,325,3.16,277000,<1H OCEAN
-123.8,39.44,42.5,1778.5,397.5,886.5,381,1.92,94300,<1H OCEAN
-123.8,39.46,35,1718,345,698,299,2.92,131600,<1H OCEAN
-123.8,39.47,28,2492,507,1202,460,2.79,150300,<1H OCEAN
-123.79,39.44,33.67,1879,392.67,1046.33,393,3.17,111766.666666667,<1H OCEAN
-123.79,39.5,24,1421,291,588,274,2.33,157300,<1H OCEAN
-123.78,40.05,17,2019,496,899,347,2.19,101900,<1H OCEAN
-123.76,41.03,24,2386,565,1058,414,2.06,79800,<1H OCEAN
-123.75,39.37,16,1377,296,830,279,3.25,151400,<1H OCEAN
-123.75,40.11,35,2052,477,900,402,1.96,101500,<1H OCEAN
-123.74,40.66,25,2395,431,983,375,3.05,136000,<1H OCEAN
-123.73,39.17,20,4620,1042,1745,794,2.38,158800,NEAR OCEAN
-123.73,39.44,32,790,151,380,142,2.7,165000,<1H OCEAN
-123.73,40.48,25,2015,524,746,251,1.72,77100,INLAND
-123.72,41.09,19,1970,431,1166,363,1.82,50000,<1H OCEAN
-123.71,39.88,42,1518,383,656,303,1.5,69800,NEAR OCEAN
-123.7,39.32,18,1652,352,711,292,3.11,213200,<1H OCEAN
-123.69,38.9,17,2206,478,1140,428,2.2,95300,NEAR OCEAN
-123.68,40.24,31,1852,452,917,359,1.73,54300,<1H OCEAN
-123.66,41.3,22,1580,372,686,264,1.81,62700,<1H OCEAN
-123.64,39.45,21,3359,677,1908,642,3.04,140700,<1H OCEAN
-123.63,41.11,19,1797,384,1033,327,1.49,59200,<1H OCEAN
-123.59,38.8,17,5202,1037,1742,803,3.12,176100,NEAR OCEAN
-123.58,39.66,15,1839,489,887,332,2.24,100000,<1H OCEAN
-123.54,39.17,18,2251,510,1032,369,2.29,101000,<1H OCEAN
-123.53,38.93,38,1706,355,506,211,2.56,165600,NEAR OCEAN
-123.53,40.88,20,2680,599,918,345,2.21,75000,INLAND
-123.52,41.01,17,1564,345,517,222,2.15,83800,INLAND
-123.5,39.67,22,2124,450,1122,446,2.18,71500,INLAND
-123.49,38.7,9,5409,1019,594,327,3.31,295400,NEAR OCEAN
-123.48,40.34,19,518,108,216,80,2.71,64500,INLAND
-123.48,40.79,15,619,160,287,104,1.91,79200,INLAND
-123.47,39.8,18,2130,545,863,346,2.36,79200,INLAND
-123.43,40.22,20,133,35,87,37,3.63,67500,INLAND
-123.41,40.07,17,449,151,141,53,0.84,87500,INLAND
-123.41,40.61,17,769,205,301,126,1.79,55000,INLAND
-123.41,41.6,23,1654,369,669,273,1.97,65400,INLAND
-123.4,39.46,10,4086,831,2111,758,3.22,104400,<1H OCEAN
-123.39,38.99,28,1416,294,812,258,3.41,109400,<1H OCEAN
-123.38,39.37,18,3946,813,1899,730,2.64,124600,<1H OCEAN
-123.38,41.8,25,1941,477,1000,390,2.3,54400,INLAND
-123.37,39.43,32,2780,470,1281,479,3.59,96000,<1H OCEAN
-123.36,39.01,35,1551,321,857,288,2.72,115400,<1H OCEAN
-123.36,39.25,17,1087,254,522,202,2.59,144500,<1H OCEAN
-123.36,39.4,21,1081,254,715,275,1.56,71500,<1H OCEAN
-123.36,39.41,46,1748,362,808,330,2.92,76900,<1H OCEAN
-123.35,39.4,27,1321,338,779,327,1.85,71800,<1H OCEAN
-123.35,39.42,18,1619,346,904,295,2.16,77200,<1H OCEAN
-123.35,40.99,23,141,59,47,23,1.13,66000,INLAND
-123.34,39.1,24,5372,1051,3002,992,3.07,131100,<1H OCEAN
-123.34,39.39,18,2821,628,1636,615,2.33,84000,<1H OCEAN
-123.34,39.5,15,2342,535,1064,433,1.9,96600,INLAND
-123.32,39.42,22,2085,432,1133,402,2.39,92600,<1H OCEAN
-123.32,40.43,15,661,146,131,57,0.5,56700,INLAND
-123.28,40.77,25,767,206,301,121,1.63,79200,INLAND
-123.26,41.86,25,2344,532,1117,424,2.72,64600,INLAND
-123.25,38.54,27,3658,764,1278,518,3.35,157500,NEAR OCEAN
-123.24,38.7,38,1460,311,569,176,2.72,131300,NEAR OCEAN
-123.24,39.81,25,1435,304,746,259,1.78,57900,INLAND
-123.23,39.13,33,1176,211,529,217,3.9,144000,<1H OCEAN
-123.23,39.33,20,804,121,448,140,3.96,147100,<1H OCEAN
-123.23,39.77,25,2075,435,991,377,1.23,60300,INLAND
-123.22,39.15,40.5,1257,240.5,571.5,236.5,3.48,118650,<1H OCEAN
-123.22,39.16,30.5,3635,704.5,2047,698.5,3.14,132100,<1H OCEAN
-123.22,39.28,16,5569,1106,3148,1088,3.15,142900,<1H OCEAN
-123.22,40.16,27,1848,449,396,150,2.85,41300,INLAND
-123.22,40.54,27,1573,361,847,330,1.9,49600,INLAND
-123.21,39.07,17,1890,342,877,312,3.78,159800,<1H OCEAN
-123.21,39.13,27,1531,266,822,234,4.05,127400,<1H OCEAN
-123.21,39.14,27,1827,403.5,1018.5,397,2.45,107300,<1H OCEAN
-123.21,39.15,41.5,2027.5,466.5,992,427,2.1,110900,<1H OCEAN
-123.21,39.18,17,2772,576,1501,584,2.63,142100,<1H OCEAN
-123.21,39.2,17,3145,693,1560,647,2.29,149300,<1H OCEAN
-123.21,40.51,16,241,84,152,61,1.38,48800,INLAND
-123.2,39.13,26,1474,417,1065,401,1.38,84400,<1H OCEAN
-123.2,39.14,17,1620,396,878,399,1.8,109200,<1H OCEAN
-123.2,39.15,27,990,238,592,225,2.01,96200,<1H OCEAN
-123.2,39.16,14,1908,484,1195,467,1.79,82300,<1H OCEAN
-123.2,39.23,26,786,168,494,161,2.36,105400,<1H OCEAN
-123.19,39.12,38,267,57,196,60,2.31,70000,<1H OCEAN
-123.19,39.15,16,2577,495,1232,488,2.6,125600,<1H OCEAN
-123.19,39.21,22,1542,291,821,285,3.59,118800,<1H OCEAN
-123.18,39.23,18,243,55,115,54,2.13,175000,<1H OCEAN
-123.18,39.26,25,3066,570,1558,535,3.79,134200,<1H OCEAN
-123.18,40.58,18,1451,278,695,254,1.73,73700,INLAND
-123.17,39.15,30,1904,331,816,325,4.43,161900,<1H OCEAN
-123.17,39.18,14,2240,327,1030,308,5.96,214900,<1H OCEAN
-123.17,40.31,36,98,28,18,8,0.54,14999,INLAND
-123.16,39.1,31,418,82,327,81,2.78,120800,<1H OCEAN
-123.16,39.13,33,1320,303,1048,303,1.78,94700,<1H OCEAN
-123.15,38.94,22,2163,436,1048,358,2.72,95800,<1H OCEAN
-123.15,39.31,19,1026,205,424,152,2.88,154200,INLAND
-123.15,39.74,23,608,143,281,108,2.93,70000,INLAND
-123.13,40.85,18,1650,377,675,282,1.89,84700,INLAND
-123.12,40.54,23,1091,217,539,201,1.87,61500,INLAND
-123.11,39.32,20,2745,504,1421,430,3.34,137500,INLAND
-123.11,40.6,23,708,202,316,136,1.16,65000,INLAND
-123.1,38.79,20,3109,712,1643,638,2.83,164400,<1H OCEAN
-123.1,38.97,36,1211,247,697,251,2.58,94900,<1H OCEAN
-123.1,39.15,32,1143,208,454,188,3.83,116100,<1H OCEAN
-123.1,39.36,19,1056,248,611,226,1.75,105000,INLAND
-123.08,38.38,28,3297,676,923,373,3.92,232600,NEAR OCEAN
-123.08,40.4,10,365,102,140,49,1.8,37500,INLAND
-123.08,41.26,34,2773,679,1066,424,1.68,63300,INLAND
-123.07,38.46,31,855,217,280,139,2.36,112500,NEAR OCEAN
-123.07,39.12,24,1098,193,353,145,3.83,92600,<1H OCEAN
-123.04,38.49,30,3977,930,1387,582,2.62,132500,NEAR OCEAN
-123.03,38.79,16,4047,769,1998,673,3.38,171900,<1H OCEAN
-123.02,38.36,16,1496,298,778,284,3.86,268800,NEAR OCEAN
-123.02,38.46,52,2154,499,524,259,2.06,120000,NEAR OCEAN
-123.02,38.54,35,2157,487,768,322,3.23,136900,<1H OCEAN
-123.02,38.81,40,1336.5,301,702,291,3.13,139700,<1H OCEAN
-123.01,38.48,37,1179,282,354,176,1.37,118300,NEAR OCEAN
-123.01,38.67,33,914,147,394,132,4.69,246200,<1H OCEAN
-123.01,38.79,32,2697,529,1417,535,3.25,134100,<1H OCEAN
-123.01,38.8,21,360,96,131,74,3.52,133300,<1H OCEAN
-123,38.33,8,3223,637,851,418,5.64,364800,NEAR OCEAN
-123,38.51,33,1565,390,759,311,2.67,153100,NEAR OCEAN
-122.99,39.02,14,1582,301,851,273,3.45,164100,<1H OCEAN
-122.98,38.44,29,4450,939,1328,590,3.1,162100,<1H OCEAN
-122.97,38.5,44,3234,746,1112,470,1.93,132700,<1H OCEAN
-122.97,38.53,48,3939,860,1257,571,2.12,98700,<1H OCEAN
-122.96,38.26,20,1982,358,308,132,3.14,240900,NEAR OCEAN
-122.96,38.42,50,2530,524,940,361,2.94,122900,<1H OCEAN
-122.96,40.77,29,1637,297,753,270,3.29,93100,INLAND
-122.95,38.73,37,1548,328,863,287,2.98,151300,<1H OCEAN
-122.95,39.13,17,380,69,225,72,3.25,137500,INLAND
-122.95,40.67,17,1498,331,574,242,2.03,94200,INLAND
-122.95,40.71,26,2231,421,987,364,2.48,88800,INLAND
-122.94,38.49,37,3169,719,777,344,2.71,117100,<1H OCEAN
-122.94,38.5,46,2280,492,807,366,2.63,117000,<1H OCEAN
-122.94,38.53,49,1141,239,505,184,3.71,148800,<1H OCEAN
-122.94,38.57,33,1530,266,728,250,5.1,266700,<1H OCEAN
-122.94,38.64,26,4050,712,2072,636,4.08,287800,<1H OCEAN
-122.94,39.1,18,681,120,272,105,2.89,140600,INLAND
-122.93,38.02,28,1284,265,628,219,3.55,200000,NEAR OCEAN
-122.93,38.38,18,2562,500,1128,414,3.93,262500,<1H OCEAN
-122.93,40.78,20,3758,798,1685,757,2.37,91200,INLAND
-122.93,41.48,20,4288,789,1800,660,2.72,79600,INLAND
-122.92,38.97,20,2067,384,904,333,2.99,134200,<1H OCEAN
-122.92,39.05,27,2339.5,459.5,1098,409,3.06,99850,INLAND
-122.92,39.08,24,341,64,146,57,4,166300,INLAND
-122.92,41.7,23,4017,792,1634,619,2.36,62000,INLAND
-122.91,38.43,19,1968,350,852,308,4.67,269800,<1H OCEAN
-122.91,38.46,18,2021,314,912,329,4.5,251900,<1H OCEAN
-122.91,38.49,37,2469,519,1137,474,3.63,146500,<1H OCEAN
-122.91,39.03,14,2374,557,723,427,1.35,95800,INLAND
-122.91,39.05,23.5,958.5,218.5,458,159,3.49,94250,INLAND
-122.91,39.06,21,1236,238,601,261,1.94,100300,INLAND
-122.91,39.07,21,2202,484,1000,381,2.44,102300,INLAND
-122.91,39.17,44,202,42,142,39,4.35,68300,INLAND
-122.91,39.18,43,89,18,86,27,2.02,72500,INLAND
-122.9,38.28,52,1275,218,627,185,2.35,163500,NEAR OCEAN
-122.9,39.09,15,2483,544,835,380,1.91,143200,INLAND
-122.9,39.17,45,1314,277,649,232,2.58,73600,INLAND
-122.9,39.23,39,1295,240,534,179,3.95,98900,INLAND
-122.9,41.46,31,1277,263,600,241,1.73,61700,INLAND
-122.89,38.38,16,2017,369,931,336,5.77,267500,<1H OCEAN
-122.89,38.4,22,2900,538,1445,515,4.51,296800,<1H OCEAN
-122.89,38.42,28,2388,437,1015,381,5.15,268300,<1H OCEAN
-122.89,38.93,20,1214,247,504,223,2.72,105700,<1H OCEAN
-122.89,39.11,10,1588,333,585,254,2.26,71100,INLAND
-122.89,39.42,16,411,114,26,19,0.5,73500,INLAND
-122.89,40.76,14,712,131,270,90,2.4,102100,INLAND
-122.88,38.34,20,3404,628,1641,585,5.06,276200,<1H OCEAN
-122.88,38.46,25,1563,314,737,305,2.57,249200,<1H OCEAN
-122.88,39.14,20,1125,231,521,196,2.22,106300,INLAND
-122.87,38.39,34,1138,205,541,180,4.51,271400,<1H OCEAN
-122.87,38.43,36,1987,387,1065,347,4.04,172200,<1H OCEAN
-122.87,38.48,27,3894,776,1832,715,3.51,187800,<1H OCEAN
-122.87,38.61,23,2676,521,1456,500,3.74,173700,<1H OCEAN
-122.87,38.62,35,2117.5,452.5,1217,446.5,2.69,168050,<1H OCEAN
-122.87,38.68,32,4073,718,2053,629,3.74,228000,<1H OCEAN
-122.87,39.13,15,1927,427,810,321,1.64,86500,INLAND
-122.86,38.1,44,2602,509,691,343,4.31,261500,NEAR OCEAN
-122.86,38.42,38,1166,223,584,225,3.67,244400,<1H OCEAN
-122.86,38.44,31,1534,292,716,288,3.45,209500,<1H OCEAN
-122.86,38.61,52,1753,380,982,380,3.4,183300,<1H OCEAN
-122.86,38.62,35,2597,522,1231,499,2.74,174000,<1H OCEAN
-122.86,39.05,20,1592,327,647,253,2.53,136800,INLAND
-122.86,39.08,24,3127,674,1015,448,2.04,78800,INLAND
-122.86,40.56,12,1350,300,423,172,1.74,81300,INLAND
-122.85,38.37,16,1762,293,810,297,4.44,305000,<1H OCEAN
-122.85,38.46,22,3328,550,1309,512,4.71,266200,<1H OCEAN
-122.85,38.52,13,4808,848,2568,762,3.66,183200,<1H OCEAN
-122.85,38.62,16,4418,704,1908,697,4.59,244600,<1H OCEAN
-122.85,38.77,18,2856,513,1027,405,4.7,241700,<1H OCEAN
-122.85,39,20,1580,318,753,252,1.87,88500,INLAND
-122.84,38.07,31,1858,367,701,297,3.83,270700,NEAR OCEAN
-122.84,38.39,16,1688,292,793,280,4.44,216900,<1H OCEAN
-122.84,38.4,15,3080,617,1446,599,3.67,194400,<1H OCEAN
-122.84,38.41,19,2191,391,1065,404,4.13,204600,<1H OCEAN
-122.84,38.42,29,2756,551,1381,531,2.96,237300,<1H OCEAN
-122.84,38.98,21,939,176,556,178,1.72,75000,INLAND
-122.83,38.39,19,1765,394,868,388,2.46,260300,<1H OCEAN
-122.83,38.4,37,2217,451,1019,428,3.12,178500,<1H OCEAN
-122.83,38.58,17,5199,1023,2036,890,3.25,168800,<1H OCEAN
-122.83,38.89,11,640,134,268,90,3.45,100000,<1H OCEAN
-122.83,38.96,15,1318,296,567,276,1.87,93800,INLAND
-122.83,38.98,17,1383,347,719,296,1.62,77800,INLAND
-122.83,38.99,15,289,49,191,54,1.68,113900,INLAND
-122.83,39.09,26,2191,495,679,371,1.47,94700,INLAND
-122.82,38.33,25,3067,569,1602,550,3.99,244100,<1H OCEAN
-122.82,38.38,27,2565,479,1227,467,4.51,259900,<1H OCEAN
-122.82,38.39,27,1362.5,250,672.5,232.5,4.18,237300,<1H OCEAN
-122.82,38.4,40,2406,423,1054,426,3.88,215900,<1H OCEAN
-122.82,38.41,32,701,182,489,168,2.79,169300,<1H OCEAN
-122.82,38.44,23,1551,236,555,243,4.68,304700,<1H OCEAN
-122.82,38.53,27,1823,360,907,317,3.28,172900,<1H OCEAN
-122.82,38.55,8,6190,1088,2967,1000,3.86,195100,<1H OCEAN
-122.82,38.61,41,2720,501,987,364,4.03,201700,<1H OCEAN
-122.82,38.64,29,2176,385,1117,374,3.87,188600,<1H OCEAN
-122.81,38.08,19,1615,366,815,337,3.46,238800,NEAR OCEAN
-122.81,38.36,18,2399,389,1131,391,5.28,293900,<1H OCEAN
-122.81,38.46,28,3580,611,1634,567,4.75,248600,<1H OCEAN
-122.81,38.54,12,2289,611,919,540,1.16,139300,<1H OCEAN
-122.81,40.93,16,2050,471,588,195,2.71,88900,INLAND
-122.8,38.18,36,2378,476,957,362,3.63,253100,NEAR OCEAN
-122.8,38.37,26,1634,315,909,317,4.17,257200,<1H OCEAN
-122.8,38.39,26,2273,474,1124,420,2.95,166700,<1H OCEAN
-122.8,39.08,17,1880,467,798,342,1.47,65000,INLAND
-122.79,38.42,9,4967,885,2581,915,5.04,185600,<1H OCEAN
-122.79,38.48,7,6837,918,3468,1405,3.17,191000,<1H OCEAN
-122.79,38.5,18,4839,918,2755,841,3.75,248300,<1H OCEAN
-122.79,38.54,5,3986,737,1887,687,3.78,213800,<1H OCEAN
-122.79,39.02,23,642,203,265,84,1.88,96900,INLAND
-122.79,39.08,23,952,200,321,128,1.52,89000,INLAND
-122.79,39.09,20,1798,395,685,331,1.63,66800,INLAND
-122.79,40.75,17,3851,818,1352,560,2.13,71700,INLAND
-122.78,38.37,21,795,163,414,162,3.8,175000,<1H OCEAN
-122.78,38.41,43,1351,277,1011,297,2.59,144000,<1H OCEAN
-122.78,38.44,14,4143,656,1569,629,3.98,345300,<1H OCEAN
-122.78,38.52,23,2511,549,1052,527,2.49,192000,<1H OCEAN
-122.78,38.53,9,3659,652,1889,632,4.27,250800,<1H OCEAN
-122.78,38.97,11,5175,971,2144,792,3.05,97300,INLAND
-122.78,39.05,15,1601,323,661,269,2.62,108900,INLAND
-122.77,38.29,32,3201,542,1869,519,3.24,268000,<1H OCEAN
-122.77,38.33,32,2054,324,843,306,4.59,290700,<1H OCEAN
-122.77,38.39,35,2611,475,1293,463,2.75,197500,<1H OCEAN
-122.77,38.92,26,712,140,293,100,4.01,119400,INLAND
-122.76,38.35,30,2260,374,958,359,5.03,222400,<1H OCEAN
-122.76,38.44,12.5,3635.5,660.5,1721,640,4.28,175100,<1H OCEAN
-122.76,38.45,8,5823,1104,2864,1041,3.63,183600,<1H OCEAN
-122.76,38.46,14,4768,761.5,2200.5,750,4.36,206150,<1H OCEAN
-122.76,38.52,6,2073,388,826,375,3.06,224100,<1H OCEAN
-122.76,40.4,22,2153,461,903,314,2.13,123200,INLAND
-122.75,38.41,17,3150,588,1857,610,3.97,165000,<1H OCEAN
-122.75,38.43,36,1599,345,1086,314,2.67,149100,<1H OCEAN
-122.75,38.46,14.5,3488,813,2129.5,657,2.83,144850,<1H OCEAN
-122.75,38.48,4,6487,1112,2958,1131,4.54,197400,<1H OCEAN
-122.75,38.5,16,4196,638,1713,615,5.45,252100,<1H OCEAN
-122.75,38.54,6,6719,1016,2699,997,5.49,254200,<1H OCEAN
-122.75,39.01,17,4162,967,889,414,3.42,200500,INLAND
-122.74,38.42,42,2050,434,1073,416,2.38,141000,<1H OCEAN
-122.74,38.43,11,4670,1007,2430,962,3.03,142300,<1H OCEAN
-122.74,38.44,20,2553,554.5,1442,519.5,3.12,156100,<1H OCEAN
-122.74,38.45,21,2880,542,1500,552,4.01,175050,<1H OCEAN
-122.74,38.46,9,2268,594,1311,585,2.66,91500,<1H OCEAN
-122.74,38.47,16,1426,287,525,260,3.07,161700,<1H OCEAN
-122.74,38.48,12,4174,670,1882,647,4.55,178300,<1H OCEAN
-122.74,38.83,12,4515,909,1554,528,3.35,90800,<1H OCEAN
-122.74,39.71,16,255,73,85,38,1.66,14999,INLAND
-122.73,38.26,35,3941,645,1668,620,4.39,317700,<1H OCEAN
-122.73,38.34,44,743,155,434,162,2.58,209600,<1H OCEAN
-122.73,38.37,40,1389,309,841,288,3.11,183300,<1H OCEAN
-122.73,38.4,30,3689,746,2250,697,2.98,157300,<1H OCEAN
-122.73,38.42,26,1446,296,884,295,4.35,150000,<1H OCEAN
-122.73,38.43,22,2971,690.5,1754.5,646.5,2.95,155400,<1H OCEAN
-122.73,38.44,27.67,1704,348.67,1007.33,337.33,2.89,143833.333333333,<1H OCEAN
